iter	RMSE
0	0.4949693955
1	0.4918234566
2	0.4892652934
3	0.4862488275
4	0.4835553493
5	0.4810295424
6	0.478648851
7	0.4767012789
8	0.4746569291
9	0.4729411369
10	0.4711378425
11	0.4696958408
12	0.4681082008
13	0.4666902949
14	0.4651640937
15	0.4637218597
16	0.4623862385
17	0.4611321393
18	0.4600305784
19	0.4588559588
20	0.4576140235
21	0.4565516418
22	0.4553615702
23	0.4544176123
24	0.4536287636
25	0.4528081865
26	0.451964751
27	0.4511414439
28	0.4503706101
29	0.4495401202
30	0.4487254029
31	0.4479841177
32	0.4472400833
33	0.4465864121
34	0.4458114942
35	0.4451991721
36	0.4445751874
37	0.4438909964
38	0.4430348555
39	0.4422893158
40	0.4417266898
41	0.4411162644
42	0.440534306
43	0.4399348508
44	0.4394664613
45	0.4388492334
46	0.4383129907
47	0.4377733236
48	0.437173117
49	0.4365617979
50	0.4359836183
51	0.4356472472
52	0.4351630519
53	0.4346399984
54	0.4343636136
55	0.4338393888
56	0.4333085645
57	0.4326353365
58	0.4320018889
59	0.4316722206
60	0.4313386773
61	0.4309985638
62	0.4306291037
63	0.430191148
64	0.4298285015
65	0.4295233731
66	0.428993502
67	0.4286239063
68	0.4281970256
69	0.4278537559
70	0.4275185517
71	0.4270566668
72	0.4266611119
73	0.4263749551
74	0.4259584294
75	0.4256333124
76	0.4252128372
77	0.4247769454
78	0.424492367
79	0.424126581
80	0.4237933492
81	0.4233702181
82	0.4228881222
83	0.422569776
84	0.4221192599
85	0.421822573
86	0.4215949307
87	0.4211445383
88	0.4207161875
89	0.4202262812
90	0.4198479292
91	0.4196105568
92	0.4192250599
93	0.4188207521
94	0.4185208571
95	0.4180748768
96	0.417809456
97	0.4176038638
98	0.4171455317
99	0.4168637549
100	0.4165039839
101	0.4161669652
102	0.4156660732
103	0.4153098782
104	0.4150885078
105	0.4148340295
106	0.4145421695
107	0.4142832555
108	0.4139976109
109	0.4136965844
110	0.4134574697
111	0.4131073864
112	0.4127403202
113	0.4124204126
114	0.4120847718
115	0.4117891749
116	0.4114913185
117	0.4112317553
118	0.4109692625
119	0.4105700663
120	0.4102743808
121	0.4100147499
122	0.4098346438
123	0.4095104448
124	0.4091628893
125	0.4087655404
126	0.4085139782
127	0.4081776564
128	0.4078801388
129	0.4076315718
130	0.407371727
131	0.406879963
132	0.4065241573
133	0.4063270942
134	0.4061362608
