iter	Passed	Remaining
0	51	51903
1	85	42888
2	113	37625
3	138	34583
4	165	33008
5	190	31589
6	218	30967
7	243	30246
8	268	29610
9	293	29039
10	318	28666
11	343	28304
12	372	28255
13	398	28045
14	422	27746
15	447	27503
16	472	27295
17	498	27192
18	523	27030
19	549	26936
20	574	26783
21	599	26670
22	627	26658
23	651	26514
24	678	26446
25	702	26315
26	727	26213
27	751	26097
28	779	26094
29	804	26025
30	829	25923
31	853	25822
32	877	25723
33	901	25606
34	926	25547
35	951	25490
36	978	25472
37	1003	25392
38	1028	25340
39	1054	25310
40	1081	25304
41	1108	25277
42	1134	25251
43	1160	25217
44	1184	25133
45	1209	25085
46	1234	25040
47	1261	25014
48	1286	24965
49	1314	24981
50	1343	24992
51	1369	24968
52	1395	24943
53	1423	24932
54	1448	24882
55	1477	24908
56	1505	24908
57	1532	24890
58	1559	24878
59	1587	24863
60	1613	24841
61	1674	25330
62	1725	25662
63	1779	26021
64	1834	26391
65	1888	26719
66	1944	27076
67	1997	27377
68	2050	27667
69	2099	27897
70	2146	28088
71	2197	28318
72	2239	28439
73	2284	28590
74	2329	28725
75	2379	28927
76	2426	29090
77	2484	29365
78	2530	29500
79	2583	29711
80	2629	29837
81	2679	29997
82	2722	30073
83	2773	30240
84	2817	30330
85	2874	30551
86	2924	30693
87	2974	30821
88	3025	30972
89	3073	31081
90	3122	31188
91	3172	31312
92	3222	31423
93	3269	31510
94	3315	31582
95	3374	31775
96	3422	31864
97	3470	31943
98	3517	32015
99	3570	32131
100	3620	32228
101	3677	32378
102	3729	32479
103	3785	32617
104	3836	32705
105	3888	32799
106	3936	32853
107	3986	32924
108	4035	32986
109	4082	33035
110	4132	33098
111	4180	33146
112	4232	33224
113	4277	33246
114	4323	33275
115	4370	33303
116	4421	33365
117	4470	33413
118	4521	33473
119	4571	33520
120	4620	33568
121	4668	33597
122	4715	33619
123	4768	33686
124	4824	33769
125	4875	33819
126	4924	33853
127	4974	33886
128	5019	33892
129	5072	33946
130	5119	33960
131	5171	34005
132	5219	34022
133	5271	34068
134	5323	34109
135	5370	34117
136	5421	34151
137	5473	34186
138	5524	34222
139	5585	34308
140	5637	34343
141	5686	34356
142	5733	34362
143	5781	34365
144	5830	34380
145	5880	34393
146	5935	34439
147	5987	34465
148	6045	34526
149	6096	34545
150	6145	34552
151	6195	34564
152	6244	34571
153	6294	34577
154	6340	34567
155	6392	34582
156	6444	34600
157	6491	34593
158	6541	34597
159	6590	34601
160	6641	34607
161	6691	34615
162	6740	34611
163	6785	34590
164	6836	34598
165	6885	34594
166	6937	34604
167	6986	34599
168	7037	34606
169	7089	34615
170	7140	34617
171	7186	34594
172	7235	34589
173	7286	34588
174	7335	34581
175	7385	34579
176	7434	34569
177	7485	34567
178	7534	34559
179	7583	34547
180	7632	34537
181	7682	34529
182	7732	34523
183	7782	34511
184	7832	34505
185	7878	34477
186	7928	34470
187	7980	34467
188	8030	34459
189	8079	34443
190	8129	34432
191	8179	34422
192	8228	34408
193	8235	34216
194	8282	34191
195	8331	34177
196	8378	34152
197	8427	34135
198	8476	34119
199	8525	34102
200	8569	34063
201	8619	34052
202	8670	34040
203	8724	34042
204	8771	34016
205	8823	34010
206	8870	33982
207	8922	33972
208	8973	33962
209	9023	33947
210	9074	33931
211	9123	33910
212	9173	33894
213	9219	33863
214	9266	33833
215	9314	33809
216	9363	33785
217	9412	33764
218	9462	33745
219	9519	33749
220	9571	33738
221	9621	33718
222	9671	33698
223	9726	33694
224	9772	33661
225	9823	33643
226	9871	33614
227	9922	33597
228	9977	33592
229	10025	33564
230	10066	33510
231	10117	33492
232	10166	33467
233	10217	33446
234	10266	33419
235	10315	33394
236	10367	33378
237	10419	33361
238	10467	33328
239	10519	33311
240	10572	33297
241	10627	33286
242	10672	33246
243	10725	33232
244	10774	33204
245	10825	33181
246	10879	33166
247	10934	33156
248	10983	33126
249	11040	33120
250	11089	33092
251	11141	33069
252	11191	33043
253	11240	33012
254	11289	32983
255	11337	32948
